epoch	avg_train_loss	val_mae	step	elapsed_s
1	0.174476	12.286626	160	6.33
2	0.131002	13.175118	322	10.69
3	0.115071	11.977847	484	14.90
4	0.101723	8.918206	646	19.12
5	0.092922	8.392177	808	23.32
6	0.089634	8.596871	970	27.52
7	0.084997	7.793140	1132	31.72
8	0.078332	7.601349	1294	35.91
9	0.075723	7.424196	1456	40.12
10	0.073681	7.370055	1618	44.32
11	0.073057	7.272415	1780	48.52
12	0.069480	7.175455	1942	52.72
13	0.067409	7.264589	2104	56.93
14	0.066361	6.711514	2266	61.13
15	0.066185	6.806643	2428	65.34
16	0.063078	6.846928	2590	69.55
17	0.060310	6.690369	2752	73.76
18	0.058807	6.807062	2914	77.99
19	0.059627	6.836210	3076	82.21
20	0.058089	6.859227	3238	86.42
21	0.056388	6.412369	3400	90.65
22	0.056197	6.117565	3562	94.88
23	0.055166	6.662601	3724	99.10
24	0.054201	6.143539	3886	103.32
25	0.051947	6.085510	4048	107.54
26	0.051230	6.613572	4210	111.77
27	0.052087	6.372155	4372	115.99
28	0.049669	6.045866	4534	120.22
29	0.051294	6.331678	4696	124.45
30	0.049455	6.179002	4858	128.67
31	0.047745	6.143965	5020	132.98
32	0.047457	5.876399	5182	137.21
33	0.045959	5.567370	5344	141.44
34	0.044287	5.572563	5506	145.67
35	0.045376	6.303574	5668	149.90
36	0.043811	6.205285	5830	154.14
37	0.044926	6.222968	5992	158.37
38	0.044312	5.978759	6154	162.60
39	0.041692	6.142655	6316	166.84
40	0.043276	6.013433	6478	171.08
41	0.042303	5.967347	6640	175.31
42	0.043051	5.856313	6802	179.55
43	0.041929	5.645219	6964	183.78
44	0.039038	6.152549	7126	188.02
45	0.040531	6.273444	7288	192.25
46	0.040758	6.257979	7450	196.48
47	0.037749	5.653144	7612	200.72
48	0.038003	5.959541	7774	204.95
49	0.037630	5.804094	7936	209.18
50	0.037167	5.767270	8098	213.42
51	0.036881	5.654397	8260	217.66
52	0.035440	5.689014	8422	221.89
53	0.033057	5.557246	8584	226.13
54	0.031895	5.631670	8746	230.36
55	0.030279	5.474617	8908	234.60
56	0.028753	5.501589	9070	238.84
57	0.028180	5.590658	9232	243.07
58	0.026644	5.428688	9394	247.31
59	0.024692	5.582837	9556	251.55
60	0.023403	5.400119	9718	255.79
61	0.022357	5.473053	9880	260.04
62	0.021057	5.399847	10042	264.39
63	0.020541	5.316107	10204	268.63
64	0.019244	5.213195	10366	272.87
65	0.018711	5.135829	10528	277.11
66	0.017419	5.313476	10690	281.35
67	0.017095	5.409835	10852	285.60
68	0.016193	5.302327	11014	289.84
69	0.015213	5.198286	11176	294.08
70	0.014655	5.208449	11338	298.33
71	0.013911	5.205738	11500	302.57
