trial	val_mae	memory_gb	status	description
0	7.6256	5.8	ok	batch_size=64 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003574712922600243 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04753571532049581
1	0.0000	0.0	crash	batch_size=16 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.4 head_type=mlp learning_rate=0.0002814509271606064 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.026237821581611892
2	5.9489	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=linear learning_rate=0.00012476394272569445 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04744427686266667
3	0.0000	0.0	crash	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.000642033033629786 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.009242722776276352
4	0.0000	0.0	crash	batch_size=24 beta1=0.85 dropout=0.0 head_dropout=0.4 head_type=mlp learning_rate=0.00026000059117302663 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.027134804157912425
0	7.8302	5.8	ok	batch_size=64 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003574712922600243 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04753571532049581
1	5.9898	1.6	ok	batch_size=16 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.4 head_type=mlp learning_rate=0.0002814509271606064 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.026237821581611892
2	5.9602	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=linear learning_rate=0.00012476394272569445 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04744427686266667
3	5.8075	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.000642033033629786 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.009242722776276352
4	6.2105	2.4	ok	batch_size=24 beta1=0.85 dropout=0.0 head_dropout=0.4 head_type=mlp learning_rate=0.00026000059117302663 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.027134804157912425
0	7.7145	5.8	ok	batch_size=64 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003574712922600243 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04753571532049581
1	5.9671	1.6	ok	batch_size=16 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.4 head_type=mlp learning_rate=0.0002814509271606064 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.026237821581611892
2	6.4467	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=linear learning_rate=0.00012476394272569445 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04744427686266667
3	5.4874	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.000642033033629786 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.009242722776276352
4	5.8642	2.4	ok	batch_size=24 beta1=0.85 dropout=0.0 head_dropout=0.4 head_type=mlp learning_rate=0.00026000059117302663 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.027134804157912425
5	12.6065	3.6	ok	batch_size=32 beta1=0.9 dropout=0.3 head_dropout=0.25 head_type=mlp learning_rate=0.0018832519048593583 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.031164906341377897
6	8.5236	2.8	ok	batch_size=24 beta1=0.85 dropout=0.3 head_dropout=0.1 head_type=mlp learning_rate=0.0005917520523090669 lr_schedule=cosine warmup_ratio=0.06 weight_decay=0.021377050917927482
7	12.0026	3.6	ok	batch_size=32 beta1=0.95 dropout=0.25 head_dropout=0.45 head_type=mlp learning_rate=0.0023619797107806506 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.04040601897822085
8	9.2313	3.6	ok	batch_size=32 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.35000000000000003 head_type=mlp learning_rate=0.00010239273411172726 lr_schedule=cosine warmup_ratio=0.04 weight_decay=0.02553736512887829
9	5.9815	3.6	ok	batch_size=32 beta1=0.95 dropout=0.05 head_dropout=0.25 head_type=linear learning_rate=0.0002634777514406047 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.0018443473677266398
10	7.3353	1.1	ok	batch_size=8 beta1=0.9 dropout=0.1 head_dropout=0.0 head_type=linear learning_rate=0.0009659696685644896 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.006125761383416493
11	5.4448	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0007442967228895917 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.014038047711985205
12	6.6504	1.5	ok	batch_size=12 beta1=0.9 dropout=0.05 head_dropout=0.1 head_type=mlp learning_rate=0.0010034190478306238 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.010880456833409165
13	6.2938	1.5	ok	batch_size=12 beta1=0.95 dropout=0.05 head_dropout=0.1 head_type=mlp learning_rate=0.000896271762694257 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.01456820420706104
14	5.2828	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0005519626174588704 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.016181171483222928
15	9.4102	1.5	ok	batch_size=12 beta1=0.9 dropout=0.1 head_dropout=0.2 head_type=mlp learning_rate=0.0016013855365196515 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.018073746944766125
16	5.6855	1.9	ok	batch_size=16 beta1=0.95 dropout=0.1 head_dropout=0.0 head_type=mlp learning_rate=0.00042799454764380195 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.014702198977174726
17	6.0025	6.0	ok	batch_size=64 beta1=0.9 dropout=0.0 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.000711748232435703 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.0005271127687185503
18	5.7543	1.1	ok	batch_size=8 beta1=0.95 dropout=0.05 head_dropout=0.15000000000000002 head_type=linear learning_rate=0.00016626149568163169 lr_schedule=cosine warmup_ratio=0.12 weight_decay=0.033389622479204614
19	11.5348	1.5	ok	batch_size=12 beta1=0.9 dropout=0.2 head_dropout=0.05 head_type=mlp learning_rate=0.0015066106237006218 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.019791342168058758
20	5.8437	1.1	ok	batch_size=8 beta1=0.9 dropout=0.1 head_dropout=0.2 head_type=mlp learning_rate=0.0004529483298639885 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.006775260252758455
21	5.3081	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.000637426993409228 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.008941376187753895
22	8.0371	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.2 head_type=mlp learning_rate=0.001217184027273494 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.013063367169937001
23	6.5684	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0007485203764057969 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.004705698497922208
24	5.2728	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.0004817133183574747 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.017070647339011293
25	5.6790	1.1	ok	batch_size=8 beta1=0.95 dropout=0.05 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.0004914823295390031 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.0180763213370373
26	6.7987	6.0	ok	batch_size=64 beta1=0.85 dropout=0.0 head_dropout=0.5 head_type=linear learning_rate=0.00020753848323139053 lr_schedule=cosine warmup_ratio=0.06 weight_decay=0.02161143452296726
27	5.6354	1.9	ok	batch_size=16 beta1=0.9 dropout=0.05 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.000410874985825512 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.009268799018628648
28	5.8794	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.0003400043138030734 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.031122718994550373
29	7.7332	2.8	ok	batch_size=24 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003260243106260379 lr_schedule=cosine warmup_ratio=0.04 weight_decay=0.016774471030811672
30	6.0654	7.0	ok	batch_size=64 beta1=0.9 dropout=0.1 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.0011357847144083514 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.0223294663014775
31	5.6844	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.2 head_type=mlp learning_rate=0.0005379501541897415 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.011228535967273764
32	5.9072	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0007386661753867815 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.015263258351978195
33	6.2061	1.5	ok	batch_size=12 beta1=0.9 dropout=0.05 head_dropout=0.05 head_type=mlp learning_rate=0.0008126699393103421 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.012395791957980512
34	5.3237	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=mlp learning_rate=0.0005965455821103707 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.008094140689852978
35	5.4041	1.0	ok	batch_size=8 beta1=0.85 dropout=0.0 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.0005722520673558339 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.003561610016111067
36	5.3726	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.35000000000000003 head_type=mlp learning_rate=0.0003441246906508824 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.008051983875082118
