Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 00000 (0.0%) | loss: 0.547041 | mae: 54.39 | lrm: 1.00 | dt: 1498ms | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 0.393108 | mae: 28.15 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 0.385505 | mae: 28.41 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 0.341364 | mae: 29.13 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 0.329286 | mae: 27.92 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 0.302864 | mae: 28.37 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 0.300230 | mae: 29.61 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 0.290097 | mae: 30.35 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 0.275758 | mae: 28.16 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 0.263337 | mae: 37.59 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 0.255851 | mae: 27.65 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 0.250802 | mae: 28.61 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 0.237434 | mae: 35.49 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00013 (0.0%) | loss: 0.227387 | mae: 34.60 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00014 (0.0%) | loss: 0.228998 | mae: 29.28 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00015 (0.0%) | loss: 0.224124 | mae: 35.98 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00016 (0.0%) | loss: 0.219067 | mae: 32.24 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00017 (0.0%) | loss: 0.215536 | mae: 31.57 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00018 (0.1%) | loss: 0.222419 | mae: 32.72 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00019 (0.1%) | loss: 0.224462 | mae: 23.47 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00020 (0.1%) | loss: 0.225848 | mae: 30.50 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00021 (0.1%) | loss: 0.222744 | mae: 28.78 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00022 (0.1%) | loss: 0.214377 | mae: 27.34 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00023 (0.1%) | loss: 0.216848 | mae: 29.42 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00024 (0.1%) | loss: 0.218229 | mae: 31.46 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00025 (0.1%) | loss: 0.217281 | mae: 24.83 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00026 (0.1%) | loss: 0.212042 | mae: 29.80 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00027 (0.1%) | loss: 0.211039 | mae: 27.14 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00028 (0.1%) | loss: 0.204896 | mae: 27.30 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00029 (0.1%) | loss: 0.197599 | mae: 29.41 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00030 (0.1%) | loss: 0.196759 | mae: 33.19 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00031 (0.1%) | loss: 0.195011 | mae: 31.76 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00032 (0.2%) | loss: 0.190015 | mae: 34.09 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 300s    
step 00033 (0.2%) | loss: 0.189655 | mae: 32.35 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00034 (0.2%) | loss: 0.184652 | mae: 35.31 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00035 (0.2%) | loss: 0.183148 | mae: 33.06 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00036 (0.2%) | loss: 0.189044 | mae: 28.06 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00037 (0.2%) | loss: 0.184106 | mae: 31.77 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00038 (0.2%) | loss: 0.182239 | mae: 28.92 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00039 (0.2%) | loss: 0.182613 | mae: 30.80 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00040 (0.2%) | loss: 0.181019 | mae: 35.66 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00041 (0.2%) | loss: 0.180567 | mae: 34.03 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00042 (0.2%) | loss: 0.179870 | mae: 26.20 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00043 (0.2%) | loss: 0.177188 | mae: 31.13 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00044 (0.2%) | loss: 0.178379 | mae: 26.62 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00045 (0.2%) | loss: 0.178185 | mae: 30.29 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00046 (0.3%) | loss: 0.173661 | mae: 29.83 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00047 (0.3%) | loss: 0.176243 | mae: 23.99 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00048 (0.3%) | loss: 0.174737 | mae: 30.07 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
step 00049 (0.3%) | loss: 0.168298 | mae: 29.81 | lrm: 1.00 | dt: 21ms | epoch: 1 | remaining: 299s    
step 00050 (0.3%) | loss: 0.167650 | mae: 25.81 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 299s    
